imagenet_label	wordnet_id	imagenet_a_label	name
613	3602883	n03602883	joystick
614	3617480	n03617480	kimono
615	3623198	n03623198	knee pad
616	3627232	n03627232	knot
617	3630383	n03630383	lab coat, laboratory coat
618	3633091	n03633091	ladle
619	3637318	n03637318	lampshade, lamp shade
620	3642806	n03642806	laptop, laptop computer
621	3649909	n03649909	lawn mower, mower
622	3657121	n03657121	lens cap, lens cover
623	3658185	n03658185	letter opener, paper knife, paperknife
624	3661043	n03661043	library
625	3662601	n03662601	lifeboat
626	3666591	n03666591	lighter, light, igniter, ignitor
627	3670208	n03670208	limousine, limo
628	3673027	n03673027	liner, ocean liner
629	3676483	n03676483	lipstick, lip rouge
630	3680355	n03680355	Loafer
631	3690938	n03690938	lotion
632	3691459	n03691459	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
633	3692522	n03692522	loupe, jeweler's loupe
634	3697007	n03697007	lumbermill, sawmill
635	3706229	n03706229	magnetic compass
636	3709823	n03709823	mailbag, postbag
637	3710193	n03710193	mailbox, letter box
638	3710637	n03710637	maillot
639	3710721	n03710721	maillot, tank suit
640	3717622	n03717622	manhole cover
641	3720891	n03720891	maraca
642	3721384	n03721384	marimba, xylophone
643	3724870	n03724870	mask
644	3729826	n03729826	matchstick
645	3733131	n03733131	maypole
646	3733281	n03733281	maze, labyrinth
647	3733805	n03733805	measuring cup
648	3742115	n03742115	medicine chest, medicine cabinet
649	3743016	n03743016	megalith, megalithic structure
650	3759954	n03759954	microphone, mike
651	3761084	n03761084	microwave, microwave oven
652	3763968	n03763968	military uniform
653	3764736	n03764736	milk can
654	3769881	n03769881	minibus
655	3770439	n03770439	miniskirt, mini
656	3770679	n03770679	minivan
657	3773504	n03773504	missile
658	3775071	n03775071	mitten
659	3775546	n03775546	mixing bowl
660	3776460	n03776460	mobile home, manufactured home
661	3777568	n03777568	Model T
662	3777754	n03777754	modem
663	3781244	n03781244	monastery
664	3782006	n03782006	monitor
665	3785016	n03785016	moped
666	3786901	n03786901	mortar
667	3787032	n03787032	mortarboard
668	3788195	n03788195	mosque
669	3788365	n03788365	mosquito net
670	3791053	n03791053	motor scooter, scooter
671	3792782	n03792782	mountain bike, all-terrain bike, off-roader
672	3792972	n03792972	mountain tent
673	3793489	n03793489	mouse, computer mouse
674	3794056	n03794056	mousetrap
675	3796401	n03796401	moving van
676	3803284	n03803284	muzzle
677	3804744	n03804744	nail
678	3814639	n03814639	neck brace
679	3814906	n03814906	necklace
680	3825788	n03825788	nipple
681	3832673	n03832673	notebook, notebook computer
682	3837869	n03837869	obelisk
683	3838899	n03838899	oboe, hautboy, hautbois
684	3840681	n03840681	ocarina, sweet potato
685	3841143	n03841143	odometer, hodometer, mileometer, milometer
686	3843555	n03843555	oil filter
687	3854065	n03854065	organ, pipe organ
688	3857828	n03857828	oscilloscope, scope, cathode-ray oscilloscope, CRO
689	3866082	n03866082	overskirt
690	3868242	n03868242	oxcart
691	3868863	n03868863	oxygen mask
692	3871628	n03871628	packet
693	3873416	n03873416	paddle, boat paddle
694	3874293	n03874293	paddlewheel, paddle wheel
695	3874599	n03874599	padlock
696	3876231	n03876231	paintbrush
697	3877472	n03877472	pajama, pyjama, pj's, jammies
698	3877845	n03877845	palace
699	3884397	n03884397	panpipe, pandean pipe, syrinx
700	3887697	n03887697	paper towel
701	3888257	n03888257	parachute, chute
702	3888605	n03888605	parallel bars, bars
703	3891251	n03891251	park bench
704	3891332	n03891332	parking meter
705	3895866	n03895866	passenger car, coach, carriage
706	3899768	n03899768	patio, terrace
707	3902125	n03902125	pay-phone, pay-station
708	3903868	n03903868	pedestal, plinth, footstall
709	3908618	n03908618	pencil box, pencil case
710	3908714	n03908714	pencil sharpener
711	3916031	n03916031	perfume, essence
712	3920288	n03920288	Petri dish
713	3924679	n03924679	photocopier
714	3929660	n03929660	pick, plectrum, plectron
715	3929855	n03929855	pickelhaube
716	3930313	n03930313	picket fence, paling
717	3930630	n03930630	pickup, pickup truck
718	3933933	n03933933	pier
719	3935335	n03935335	piggy bank, penny bank
720	3937543	n03937543	pill bottle
721	3938244	n03938244	pillow
722	3942813	n03942813	ping-pong ball
723	3944341	n03944341	pinwheel
724	3947888	n03947888	pirate, pirate ship
725	3950228	n03950228	pitcher, ewer
726	3954731	n03954731	plane, carpenter's plane, woodworking plane
727	3956157	n03956157	planetarium
728	3958227	n03958227	plastic bag
729	3961711	n03961711	plate rack
730	3967562	n03967562	plow, plough
731	3970156	n03970156	plunger, plumber's helper
732	3976467	n03976467	Polaroid camera, Polaroid Land camera
733	3976657	n03976657	pole
734	3977966	n03977966	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
735	3980874	n03980874	poncho
736	3982430	n03982430	pool table, billiard table, snooker table
737	3983396	n03983396	pop bottle, soda bottle
738	3991062	n03991062	pot, flowerpot
739	3992509	n03992509	potter's wheel
740	3995372	n03995372	power drill
741	3998194	n03998194	prayer rug, prayer mat
742	4004767	n04004767	printer
743	4005630	n04005630	prison, prison house
744	4008634	n04008634	projectile, missile
745	4009552	n04009552	projector
746	4019541	n04019541	puck, hockey puck
747	4023962	n04023962	punching bag, punch bag, punching ball, punchball
748	4026417	n04026417	purse
749	4033901	n04033901	quill, quill pen
750	4033995	n04033995	quilt, comforter, comfort, puff
751	4037443	n04037443	racer, race car, racing car
752	4039381	n04039381	racket, racquet
753	4040759	n04040759	radiator
754	4041544	n04041544	radio, wireless
755	4044716	n04044716	radio telescope, radio reflector
756	4049303	n04049303	rain barrel
757	4065272	n04065272	recreational vehicle, RV, R.V.
758	4067472	n04067472	reel
759	4069434	n04069434	reflex camera
760	4070727	n04070727	refrigerator, icebox
761	4074963	n04074963	remote control, remote
762	4081281	n04081281	restaurant, eating house, eating place, eatery
763	4086273	n04086273	revolver, six-gun, six-shooter
764	4090263	n04090263	rifle
765	4099969	n04099969	rocking chair, rocker
766	4111531	n04111531	rotisserie
767	4116512	n04116512	rubber eraser, rubber, pencil eraser
768	4118538	n04118538	rugby ball
769	4118776	n04118776	rule, ruler
770	4120489	n04120489	running shoe
771	4125021	n04125021	safe
772	4127249	n04127249	safety pin
773	4131690	n04131690	saltshaker, salt shaker
774	4133789	n04133789	sandal
775	4136333	n04136333	sarong
776	4141076	n04141076	sax, saxophone
777	4141327	n04141327	scabbard
778	4141975	n04141975	scale, weighing machine
779	4146614	n04146614	school bus
780	4147183	n04147183	schooner
781	4149813	n04149813	scoreboard
782	4152593	n04152593	screen, CRT screen
783	4153751	n04153751	screw
784	4154565	n04154565	screwdriver
785	4162706	n04162706	seat belt, seatbelt
786	4179913	n04179913	sewing machine
787	4192698	n04192698	shield, buckler
788	4200800	n04200800	shoe shop, shoe-shop, shoe store
789	4201297	n04201297	shoji
790	4204238	n04204238	shopping basket
791	4204347	n04204347	shopping cart
792	4208210	n04208210	shovel
793	4209133	n04209133	shower cap
794	4209239	n04209239	shower curtain
795	4228054	n04228054	ski
796	4229816	n04229816	ski mask
797	4235860	n04235860	sleeping bag
798	4238763	n04238763	slide rule, slipstick
799	4239074	n04239074	sliding door
800	4243546	n04243546	slot, one-armed bandit
801	4251144	n04251144	snorkel
802	4252077	n04252077	snowmobile
803	4252225	n04252225	snowplow, snowplough
804	4254120	n04254120	soap dispenser
805	4254680	n04254680	soccer ball
806	4254777	n04254777	sock
807	4258138	n04258138	solar dish, solar collector, solar furnace
808	4259630	n04259630	sombrero
809	4263257	n04263257	soup bowl
810	4264628	n04264628	space bar
811	4265275	n04265275	space heater
812	4266014	n04266014	space shuttle
813	4270147	n04270147	spatula
814	4273569	n04273569	speedboat
815	4275548	n04275548	spider web, spider's web
816	4277352	n04277352	spindle
817	4285008	n04285008	sports car, sport car
818	4286575	n04286575	spotlight, spot
819	4296562	n04296562	stage
820	4310018	n04310018	steam locomotive
821	4311004	n04311004	steel arch bridge
822	4311174	n04311174	steel drum
823	4317175	n04317175	stethoscope
824	4325704	n04325704	stole
825	4326547	n04326547	stone wall
826	4328186	n04328186	stopwatch, stop watch
827	4330267	n04330267	stove
828	4332243	n04332243	strainer
829	4335435	n04335435	streetcar, tram, tramcar, trolley, trolley car
830	4336792	n04336792	stretcher
831	4344873	n04344873	studio couch, day bed
832	4346328	n04346328	stupa, tope
833	4347754	n04347754	submarine, pigboat, sub, U-boat
834	4350905	n04350905	suit, suit of clothes
835	4355338	n04355338	sundial
836	4355933	n04355933	sunglass
837	4356056	n04356056	sunglasses, dark glasses, shades
838	4357314	n04357314	sunscreen, sunblock, sun blocker
839	4366367	n04366367	suspension bridge
840	4367480	n04367480	swab, swob, mop
841	4370456	n04370456	sweatshirt
842	4371430	n04371430	swimming trunks, bathing trunks
843	4371774	n04371774	swing
844	4372370	n04372370	switch, electric switch, electrical switch
845	4376876	n04376876	syringe
846	4380533	n04380533	table lamp
847	4389033	n04389033	tank, army tank, armored combat vehicle, armoured combat vehicle
848	4392985	n04392985	tape player
849	4398044	n04398044	teapot
850	4399382	n04399382	teddy, teddy bear
851	4404412	n04404412	television, television system
852	4409515	n04409515	tennis ball
853	4417672	n04417672	thatch, thatched roof
854	4418357	n04418357	theater curtain, theatre curtain
855	4423845	n04423845	thimble
856	4428191	n04428191	thresher, thrasher, threshing machine
857	4429376	n04429376	throne
858	4435653	n04435653	tile roof
859	4442312	n04442312	toaster
860	4443257	n04443257	tobacco shop, tobacconist shop, tobacconist
861	4447861	n04447861	toilet seat
862	4456115	n04456115	torch
863	4458633	n04458633	totem pole
864	4461696	n04461696	tow truck, tow car, wrecker
865	4462240	n04462240	toyshop
866	4465501	n04465501	tractor
867	4467665	n04467665	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
868	4476259	n04476259	tray
869	4479046	n04479046	trench coat
870	4482393	n04482393	tricycle, trike, velocipede
871	4483307	n04483307	trimaran
872	4485082	n04485082	tripod
873	4486054	n04486054	triumphal arch
874	4487081	n04487081	trolleybus, trolley coach, trackless trolley
875	4487394	n04487394	trombone
876	4493381	n04493381	tub, vat
877	4501370	n04501370	turnstile
878	4505470	n04505470	typewriter keyboard
879	4507155	n04507155	umbrella
880	4509417	n04509417	unicycle, monocycle
881	4515003	n04515003	upright, upright piano
882	4517823	n04517823	vacuum, vacuum cleaner
883	4522168	n04522168	vase
884	4523525	n04523525	vault
885	4525038	n04525038	velvet
886	4525305	n04525305	vending machine
887	4532106	n04532106	vestment
888	4532670	n04532670	viaduct
889	4536866	n04536866	violin, fiddle
890	4540053	n04540053	volleyball
891	4542943	n04542943	waffle iron
892	4548280	n04548280	wall clock
893	4548362	n04548362	wallet, billfold, notecase, pocketbook
894	4550184	n04550184	wardrobe, closet, press
895	4552348	n04552348	warplane, military plane
896	4553703	n04553703	washbasin, handbasin, washbowl, lavabo, wash-hand basin
897	4554684	n04554684	washer, automatic washer, washing machine
898	4557648	n04557648	water bottle
899	4560804	n04560804	water jug
900	4562935	n04562935	water tower
901	4579145	n04579145	whiskey jug
902	4579432	n04579432	whistle
903	4584207	n04584207	wig
904	4589890	n04589890	window screen
905	4590129	n04590129	window shade
906	4591157	n04591157	Windsor tie
907	4591713	n04591713	wine bottle
908	4592741	n04592741	wing
909	4596742	n04596742	wok
910	4597913	n04597913	wooden spoon
911	4599235	n04599235	wool, woolen, woollen
912	4604644	n04604644	worm fence, snake fence, snake-rail fence, Virginia fence
913	4606251	n04606251	wreck
914	4612504	n04612504	yawl
915	4613696	n04613696	yurt
916	6359193	n06359193	web site, website, internet site, site
917	6596364	n06596364	comic book
918	6785654	n06785654	crossword puzzle, crossword
919	6794110	n06794110	street sign
920	6874185	n06874185	traffic light, traffic signal, stoplight
921	7248320	n07248320	book jacket, dust cover, dust jacket, dust wrapper
922	7565083	n07565083	menu
923	7579787	n07579787	plate
924	7583066	n07583066	guacamole
925	7584110	n07584110	consomme
926	7590611	n07590611	hot pot, hotpot
927	7613480	n07613480	trifle
928	7614500	n07614500	ice cream, icecream
929	7615774	n07615774	ice lolly, lolly, lollipop, popsicle
930	7684084	n07684084	French loaf
931	7693725	n07693725	bagel, beigel
932	7695742	n07695742	pretzel
933	7697313	n07697313	cheeseburger
934	7697537	n07697537	hotdog, hot dog, red hot
935	7711569	n07711569	mashed potato
936	7714571	n07714571	head cabbage
937	7714990	n07714990	broccoli
938	7715103	n07715103	cauliflower
939	7716358	n07716358	zucchini, courgette
940	7716906	n07716906	spaghetti squash
941	7717410	n07717410	acorn squash
942	7717556	n07717556	butternut squash
943	7718472	n07718472	cucumber, cuke
944	7718747	n07718747	artichoke, globe artichoke
945	7720875	n07720875	bell pepper
946	7730033	n07730033	cardoon
947	7734744	n07734744	mushroom
948	7742313	n07742313	Granny Smith
949	7745940	n07745940	strawberry
950	7747607	n07747607	orange
951	7749582	n07749582	lemon
952	7753113	n07753113	fig
953	7753275	n07753275	pineapple, ananas
954	7753592	n07753592	banana
955	7754684	n07754684	jackfruit, jak, jack
956	7760859	n07760859	custard apple
957	7768694	n07768694	pomegranate
958	7802026	n07802026	hay
959	7831146	n07831146	carbonara
960	7836838	n07836838	chocolate sauce, chocolate syrup
961	7860988	n07860988	dough
962	7871810	n07871810	meat loaf, meatloaf
963	7873807	n07873807	pizza, pizza pie
964	7875152	n07875152	potpie
965	7880968	n07880968	burrito
966	7892512	n07892512	red wine
967	7920052	n07920052	espresso
968	7930864	n07930864	cup
969	7932039	n07932039	eggnog
970	9193705	n09193705	alp
971	9229709	n09229709	bubble
972	9246464	n09246464	cliff, drop, drop-off
973	9256479	n09256479	coral reef
974	9288635	n09288635	geyser
975	9332890	n09332890	lakeside, lakeshore
976	9399592	n09399592	promontory, headland, head, foreland
977	9421951	n09421951	sandbar, sand bar
978	9428293	n09428293	seashore, coast, seacoast, sea-coast
979	9468604	n09468604	valley, vale
980	9472597	n09472597	volcano
981	9835506	n09835506	ballplayer, baseball player
982	10148035	n10148035	groom, bridegroom
983	10565667	n10565667	scuba diver
984	11879895	n11879895	rapeseed
985	11939491	n11939491	daisy
986	12057211	n12057211	yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
987	12144580	n12144580	corn
988	12267677	n12267677	acorn
989	12620546	n12620546	hip, rose hip, rosehip
990	12768682	n12768682	buckeye, horse chestnut, conker
991	12985857	n12985857	coral fungus
992	12998815	n12998815	agaric
993	13037406	n13037406	gyromitra
994	13040303	n13040303	stinkhorn, carrion fungus
995	13044778	n13044778	earthstar
996	13052670	n13052670	hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
997	13054560	n13054560	bolete
998	13133613	n13133613	ear, spike, capitulum
999	15075141	n15075141	toilet tissue, toilet paper, bathroom tissue
